[16/Jul/2026 09:59:58] "GET /api/schema/ HTTP/1.1" 200 4618
[16/Jul/2026 10:00:04,111] - Broken pipe from ('127.0.0.1', 50096)
[16/Jul/2026 10:00:53] "POST /api/token/ HTTP/1.1" 200 491
[16/Jul/2026 10:00:54,112] - Broken pipe from ('127.0.0.1', 56165)
[16/Jul/2026 10:02:44] "OPTIONS /api/cart/ HTTP/1.1" 200 0
[16/Jul/2026 10:02:44] "GET /api/cart/ HTTP/1.1" 401 172
[16/Jul/2026 10:02:44] "GET /api/cart/ HTTP/1.1" 401 172
[16/Jul/2026 10:02:44] "GET /api/products/ HTTP/1.1" 200 472
[16/Jul/2026 10:02:44] "GET /api/products/ HTTP/1.1" 200 472
[16/Jul/2026 10:03:40] "OPTIONS /api/cart/ HTTP/1.1" 200 0
[16/Jul/2026 10:03:40] "OPTIONS /api/cart/ HTTP/1.1" 200 0
[16/Jul/2026 10:03:40] "GET /api/cart/ HTTP/1.1" 401 58
[16/Jul/2026 10:03:40] "GET /api/cart/ HTTP/1.1" 401 58
[16/Jul/2026 10:04:06] "OPTIONS /api/token/ HTTP/1.1" 200 0
[16/Jul/2026 10:04:07] "POST /api/token/ HTTP/1.1" 200 491
[16/Jul/2026 10:04:08] "GET /api/products/ HTTP/1.1" 200 472
[16/Jul/2026 10:04:08] "GET /api/products/ HTTP/1.1" 200 472
[16/Jul/2026 10:05:04] "OPTIONS /api/cart/ HTTP/1.1" 200 0
[16/Jul/2026 10:05:04] "OPTIONS /api/cart/ HTTP/1.1" 200 0
[16/Jul/2026 10:05:04] "GET /api/products/ HTTP/1.1" 200 472
[16/Jul/2026 10:05:04] "GET /api/cart/ HTTP/1.1" 200 214
[16/Jul/2026 10:05:04] "GET /api/cart/ HTTP/1.1" 200 214
[16/Jul/2026 10:05:04] "GET /api/products/ HTTP/1.1" 200 472
[16/Jul/2026 10:08:42] "OPTIONS /api/orders/create/ HTTP/1.1" 200 0
[16/Jul/2026 10:08:42] "POST /api/orders/create/ HTTP/1.1" 400 32
[16/Jul/2026 10:17:17] "POST /api/orders/create/ HTTP/1.1" 200 56
[16/Jul/2026 10:19:11] "GET /api/products/ HTTP/1.1" 200 472
[16/Jul/2026 10:19:11] "GET /api/products/ HTTP/1.1" 200 472
[16/Jul/2026 10:27:51] "GET /api/products/18/ HTTP/1.1" 200 237
[16/Jul/2026 10:27:52] "GET /api/products/18/ HTTP/1.1" 200 237
[16/Jul/2026 10:27:53] "OPTIONS /api/cart/add/ HTTP/1.1" 200 0
[16/Jul/2026 10:27:53] "POST /api/cart/add/ HTTP/1.1" 200 254
[16/Jul/2026 10:27:53] "OPTIONS /api/cart/ HTTP/1.1" 200 0
[16/Jul/2026 10:27:53] "GET /api/cart/ HTTP/1.1" 200 211
[16/Jul/2026 10:28:58] "OPTIONS /api/orders/create/ HTTP/1.1" 200 0
[16/Jul/2026 10:28:58] "POST /api/orders/create/ HTTP/1.1" 200 56
[16/Jul/2026 10:29:31] "GET /api/products/ HTTP/1.1" 200 472
[16/Jul/2026 10:29:32] "GET /api/products/ HTTP/1.1" 200 472
[16/Jul/2026 10:36:37] "GET /api/products/17/ HTTP/1.1" 200 232
[16/Jul/2026 10:36:37] "GET /api/products/17/ HTTP/1.1" 200 232
[16/Jul/2026 10:36:40] "OPTIONS /api/cart/add/ HTTP/1.1" 200 0
[16/Jul/2026 10:36:40] "POST /api/cart/add/ HTTP/1.1" 200 257
[16/Jul/2026 10:36:40] "OPTIONS /api/cart/ HTTP/1.1" 200 0
[16/Jul/2026 10:36:40] "GET /api/cart/ HTTP/1.1" 200 214
[16/Jul/2026 10:38:27] "OPTIONS /api/orders/create/ HTTP/1.1" 200 0
[16/Jul/2026 10:38:27] "POST /api/orders/create/ HTTP/1.1" 200 56
[16/Jul/2026 10:38:49] "GET /api/products/ HTTP/1.1" 200 472
[16/Jul/2026 10:38:49] "GET /api/products/ HTTP/1.1" 200 472
[16/Jul/2026 10:42:28] "GET /api/products/18/ HTTP/1.1" 200 237
[16/Jul/2026 10:42:28] "GET /api/products/18/ HTTP/1.1" 200 237
[16/Jul/2026 10:42:32] "OPTIONS /api/cart/add/ HTTP/1.1" 200 0
[16/Jul/2026 10:42:32] "POST /api/cart/add/ HTTP/1.1" 200 254
[16/Jul/2026 10:42:32] "OPTIONS /api/cart/ HTTP/1.1" 200 0
[16/Jul/2026 10:42:32] "GET /api/cart/ HTTP/1.1" 200 211
[16/Jul/2026 10:43:33] "OPTIONS /api/orders/create/ HTTP/1.1" 200 0
[16/Jul/2026 10:43:33] "POST /api/orders/create/ HTTP/1.1" 200 56
[16/Jul/2026 10:44:03] "GET /api/products/ HTTP/1.1" 200 472
[16/Jul/2026 10:44:03] "GET /api/products/ HTTP/1.1" 200 472
[16/Jul/2026 10:51:54] "GET /api/products/18/ HTTP/1.1" 200 237
[16/Jul/2026 10:51:55] "GET /api/products/18/ HTTP/1.1" 200 237
[16/Jul/2026 10:51:56] "OPTIONS /api/cart/add/ HTTP/1.1" 200 0
[16/Jul/2026 10:51:59] "POST /api/cart/add/ HTTP/1.1" 200 254
[16/Jul/2026 10:51:59] "OPTIONS /api/cart/ HTTP/1.1" 200 0
[16/Jul/2026 10:51:59] "GET /api/cart/ HTTP/1.1" 200 211
[16/Jul/2026 10:52:02] "POST /api/cart/add/ HTTP/1.1" 200 254
[16/Jul/2026 10:52:02] "GET /api/cart/ HTTP/1.1" 200 211
[16/Jul/2026 10:53:44] "OPTIONS /api/orders/create/ HTTP/1.1" 200 0
[16/Jul/2026 10:53:44] "POST /api/orders/create/ HTTP/1.1" 400 32
[16/Jul/2026 11:09:52] "POST /api/orders/create/ HTTP/1.1" 401 172
[16/Jul/2026 11:19:21] "OPTIONS /api/token/ HTTP/1.1" 200 0
[16/Jul/2026 11:19:23] "POST /api/token/ HTTP/1.1" 200 491
[16/Jul/2026 11:19:24] "GET /api/products/ HTTP/1.1" 200 472
[16/Jul/2026 11:19:24] "GET /api/products/ HTTP/1.1" 200 472
[16/Jul/2026 11:19:34] "OPTIONS /api/cart/ HTTP/1.1" 200 0
[16/Jul/2026 11:19:34] "GET /api/products/ HTTP/1.1" 200 472
[16/Jul/2026 11:19:34] "GET /api/cart/ HTTP/1.1" 200 211
[16/Jul/2026 11:19:34] "GET /api/products/ HTTP/1.1" 200 472
[16/Jul/2026 11:19:34] "GET /api/cart/ HTTP/1.1" 200 211
[16/Jul/2026 11:28:09] "OPTIONS /api/orders/create/ HTTP/1.1" 200 0
[16/Jul/2026 11:28:09] "POST /api/orders/create/ HTTP/1.1" 200 56
[16/Jul/2026 11:28:51] "GET /api/products/ HTTP/1.1" 200 472
[16/Jul/2026 11:28:51] "GET /api/products/ HTTP/1.1" 200 472
